-30 -30 35
-20 -30 30
-10 -30 35
0   -30 30
10  -30 35
20  -30 30
30  -30 35

-30 -20 35
-20 -20 30
-10 -20 35
0   -20 30
10  -20 35
20  -20 30
30  -20 35

-30 -10 35
-20 -10 30
-10 -10 35
0   -10 30
10  -10 35
20  -10 30
30  -10 35

-30 0 35
-20 0 30
-10 0 35
0   0 30
10  0 35
20  0 30
30  0 35

-30 10 35
-20 10 30
-10 10 35
0   10 30
10  10 35
20  10 30
30  10 35

-30 20 35
-20 20 30
-10 20 35
0   20 30
10  20 35
20  20 30
30  20 35

-30 30 35
-20 30 30
-10 30 35
0   30 30
10  30 35
20  30 30
30  30 35
